rank,channel_info,influence_score,posts,followers,avg_likes,60_day_eng_rate,new_post_avg_like,total_likes,country,engagement_efficiency,likes_per_post_check
169,laudyacynthiabella,76,380.0,36900000.0,172800.0,0.12,43400.0,66700000.0,Indonesia,0.0046829268292682925,175526.31578947368
170,antogriezmann,83,870.0,36500000.0,1100000.0,0.57,203600.0,955400000.0,France,0.030136986301369864,1098160.91954023
171,gisel_la,85,9900.0,36500000.0,150500.0,0.1,33400.0,1500000000.0,Unknown,0.004123287671232876,151515.15151515152
172,eminem,84,660.0,36400000.0,1100000.0,2.69,962700.0,730100000.0,United States,0.03021978021978022,1106212.121212121
173,mercedesbenz,77,10000.0,36000000.0,197900.0,0.18,64599.99999999999,2000000000.0,British Virgin Islands,0.005497222222222222,200000.0
174,colesprouse,81,1200.0,35900000.0,2200000.0,2.34,834500.0,2600000000.0,Unknown,0.06128133704735376,2166666.6666666665
175,nattinatasha,47,30.0,35900000.0,518100.0,0.8,285900.0,18700000.0,Czech Republic,0.01443175487465181,623333.3333333334
176,shahidkapoor,82,1100.0,35600000.0,1300000.0,2.54,780000.0,1500000000.0,Unknown,0.03651685393258427,1363636.3636363635
177,tigerjackieshroff,83,2100.0,35600000.0,1100000.0,1.2,422900.0,2200000000.0,India,0.03089887640449438,1047619.0476190476
178,kimberly.loaiza,78,590.0,35500000.0,2600000.0,5.23,1800000.0,1600000000.0,Mexico,0.07323943661971831,2711864.406779661
179,barackobama,81,660.0,35400000.0,1100000.0,1.19,411500.0,739500000.0,United States,0.031073446327683617,1120454.5454545454
180,sachintendulkar,76,1000.0,35300000.0,800400.0,2.03,664500.0,810000000.0,Unknown,0.022674220963172804,810000.0
181,simonemendes,72,4400.0,35000000.0,420000.0,0.65,222900.0,1900000000.0,Brazil,0.012,431818.1818181818
182,ivetesangalo,84,7600.0,34800000.0,226400.0,0.36,121100.0,1700000000.0,Brazil,0.006505747126436781,223684.2105263158
183,lunamaya,83,4100.0,34800000.0,145400.0,0.17,58600.0,589600000.0,Unknown,0.00417816091954023,143804.8780487805
184,toni.kr8s,83,940.0,34700000.0,597200.0,1.68,533500.0,561300000.0,Unknown,0.017210374639769453,597127.659574468
185,dannapaola,68,1900.0,34700000.0,1500000.0,3.49,1200000.0,2800000000.0,Mexico,0.043227665706051875,1473684.2105263157
186,paollaoliveirareal,84,4600.0,34700000.0,367800.0,0.57,192300.0,1700000000.0,Unknown,0.010599423631123919,369565.2173913043
187,blakelively,80,110.0,34600000.0,3100000.0,0.02,0.0,350900000.0,United States,0.08959537572254335,3190000.0
188,adidasoriginals,83,150.0,34200000.0,136200.0,0.2,66800.0,21200000.0,Unknown,0.003982456140350877,141333.33333333334
189,disney,77,7300.0,34200000.0,185200.0,0.44,132000.0,1400000000.0,United States,0.005415204678362573,191780.8219178082
190,shaymitchell,83,6300.0,34100000.0,732400.0,0.73,247500.0,4600000000.0,United States,0.02147800586510264,730158.7301587302
191,bmw,79,9300.0,33700000.0,231300.0,0.23,76500.0,2200000000.0,Germany,0.006863501483679525,236559.13978494622
192,danbilzerian,84,1400.0,33600000.0,2000000.0,3.58,1200000.0,2800000000.0,Canada,0.05952380952380952,2000000.0
193,khabib_nurmagomedov,63,4500.0,33500000.0,685100.0,0.67,220700.0,3100000000.0,Russia,0.020450746268656717,688888.8888888889
194,zidane,41,370.0,33500000.0,1100000.0,1.61,532700.0,391900000.0,France,0.03283582089552239,1059189.189189189
195,sonamkapoor,75,4800.0,33299999.999999996,264700.0,0.63,209200.0,1300000000.0,India,0.00794894894894895,270833.3333333333
196,iambeckyg,71,2300.0,33200000.000000004,623800.0,1.4,464700.0,1400000000.0,United States,0.018789156626506022,608695.6521739131
197,nancyajram,81,3800.0,33200000.000000004,390400.0,0.64,208000.0,1500000000.0,France,0.011759036144578312,394736.84210526315
198,luansantana,79,770.0,33200000.000000004,193300.0,0.26,82600.0,149200000.0,Brazil,0.005822289156626506,193766.23376623375
199,nickjonas,78,2300.0,33000000.0,719600.0,1.42,467700.0,1700000000.0,United States,0.021806060606060607,739130.4347826086
200,raisa6690,80,4200.0,32799999.999999996,232200.0,0.3,97400.0,969100000.0,Indonesia,0.007079268292682928,230738.09523809524
